notation_type,symbol_name,symbol_unicode,symbol_ascii,duration_value,relative_duration,staff_position,clef_dependency,function_category,visual_description,musical_effect,usage_context,historical_period,alternative_names,stem_direction,beam_capability,dot_capability,tie_capability,slur_capability
Ornament,Acciaccatura,Grace note,grace,,Crushed note,Before main note,All clefs,Ornamentation,Small note with slash,Very brief ornamental note,Quick decoration,Baroque to Modern,Crushed note,,0,0,0,0
Ornament,Appoggiatura,Small note,app,,Accented grace note,Before main note,All clefs,Ornamentation,Small note with slash,Emphasized dissonant approach,Expressive emphasis,Baroque to Modern,Leaning note,,0,0,0,0
Ornament,Mordent,𝄔,M,,Quick neighbor note,Above note,All clefs,Ornamentation,Wavy line with vertical stroke,Quick upper/lower note,Brief embellishment,Baroque to Modern,Bite,,0,0,0,0
Ornament,Trill,𝄓,tr,,Rapid alternation,Above note,All clefs,Ornamentation,tr with wavy line,Rapid note alternation,Decorative embellishment,Baroque to Modern,Shake,,0,0,0,0
Ornament,Turn,𝄕,S,,Four-note figure,Above note,All clefs,Ornamentation,S-like curve symbol,Upper-main-lower-main pattern,Melodic decoration,Baroque to Modern,Gruppetto,,0,0,0,0
Repeat,Da Capo,D.C.,D.C.,,Return to beginning,Above staff,All clefs,Structure,Abbreviated text,Go back to start,Structural return,Baroque to Modern,From the head,,0,0,0,0
Repeat,Dal Segno,D.S.,D.S.,,Return to sign,Above staff,All clefs,Structure,Abbreviated text,Go back to sign,Mid-piece return,Baroque to Modern,From the sign,,0,0,0,0
Repeat,First Ending,1,1,,First time ending,Above staff,All clefs,Structure,Bracket with number 1,Play first time only,Alternative endings,Renaissance to Modern,Prima volta,,0,0,0,0
Repeat,Repeat Beginning,𝄆,|:,,Start of repeat section,Bar line,All clefs,Structure,Double bar with two dots,Beginning of repeated section,Structural organization,Renaissance to Modern,Left repeat,,0,0,0,0
Repeat,Repeat Ending,𝄇,:|,,End of repeat section,Bar line,All clefs,Structure,Double bar with two dots,End of repeated section,Structural organization,Renaissance to Modern,Right repeat,,0,0,0,0
Repeat,Second Ending,2,2,,Second time ending,Above staff,All clefs,Structure,Bracket with number 2,Play second time only,Alternative endings,Renaissance to Modern,Seconda volta,,0,0,0,0
Rest,Eighth Rest,𝄾,E,0.5,1/2 beat silence in 4/4,Staff area,All clefs,Silence,Single flag with tail,Half beat silence,Brief pauses,Renaissance to Modern,Quaver rest,,0,1,0,0
Rest,Half Rest,𝄼,r,2.0,2 beats silence in 4/4,Above staff line,All clefs,Silence,Filled rectangle sitting on line,Two beat silence,Mid-phrase breaks,Medieval to Modern,Minim rest,,0,1,0,0
Rest,Quarter Rest,𝄽,Q,1.0,1 beat silence in 4/4,Staff area,All clefs,Silence,Curved flag-like symbol,One beat silence,Short pauses,Medieval to Modern,Crotchet rest,,0,1,0,0
Rest,Sixteenth Rest,𝄿,S,0.25,1/4 beat silence in 4/4,Staff area,All clefs,Silence,Double flag with tail,Quarter beat silence,Very brief pauses,Baroque to Modern,Semiquaver rest,,0,1,0,0
Rest,Whole Rest,𝄻,R,4.0,4 beats silence in 4/4,Below staff line,All clefs,Silence,Filled rectangle hanging from line,Four beat silence,Full measure rest,Medieval to Modern,Semibreve rest,,0,1,0,0
Staff Extension,Ledger Line,___,_,,Extends staff range,Above/below staff,All clefs,Pitch Extension,Short horizontal lines,Allows notes beyond staff,Extended pitch range,Renaissance to Modern,Leger line,,0,0,0,0
Time Signature,Common Time,𝄴,C,,4/4 time signature,After clef,All clefs,Meter,Large C symbol,Four quarter note beats per measure,Most common meter,Renaissance to Modern,4/4 time,,0,0,0,0
Time Signature,Cut Time,𝄵,C/,,2/2 time signature,After clef,All clefs,Meter,C with vertical line,Two half note beats per measure,Fast duple meter,Baroque to Modern,Alla breve,,0,0,0,0
Time Signature,Four Four Time,4/4,4/4,,Four quarter beats,After clef,All clefs,Meter,Numbers 4 over 4,Four quarter note beats per measure,Standard duple meter,Renaissance to Modern,Common time,,0,0,0,0
Time Signature,Three Four Time,3/4,3/4,,Three quarter beats,After clef,All clefs,Meter,Numbers 3 over 4,Three quarter note beats per measure,"Waltz time, triple meter",Renaissance to Modern,Triple time,,0,0,0,0
Time Signature,Two Four Time,2/4,2/4,,Two quarter beats,After clef,All clefs,Meter,Numbers 2 over 4,Two quarter note beats per measure,"March time, simple duple",Classical to Modern,Duple time,,0,0,0,0
