nct_type,chord_context_compatibility,harmonic_tension_level,chord_type,chord_function,compatibility_rating
appoggiatura,all_harmonic_contexts,5,dominant_seventh,dominant,excellent_fit
appoggiatura,all_harmonic_contexts,5,diminished_seventh,dominant,excellent_fit
appoggiatura,all_harmonic_contexts,5,half_diminished,dominant,excellent_fit
appoggiatura,all_harmonic_contexts,5,minor_major_seventh,dominant,excellent_fit
appoggiatura,all_harmonic_contexts,5,ninth,dominant,excellent_fit
appoggiatura,all_harmonic_contexts,5,eleventh,dominant,excellent_fit
appoggiatura,all_harmonic_contexts,5,thirteenth,dominant,excellent_fit
appoggiatura,all_harmonic_contexts,5,add9,tonic,moderate_fit
appoggiatura,all_harmonic_contexts,5,sus2,tonic,moderate_fit
appoggiatura,all_harmonic_contexts,5,sus4,tonic,moderate_fit
anticipation,chord_progression_contexts,1,major,tonic,excellent_fit
anticipation,chord_progression_contexts,1,minor,tonic,excellent_fit
anticipation,chord_progression_contexts,1,diminished,predominant,moderate_fit
anticipation,chord_progression_contexts,1,augmented,tonic,excellent_fit
anticipation,chord_progression_contexts,1,major_seventh,dominant,moderate_fit
anticipation,chord_progression_contexts,1,minor_seventh,dominant,moderate_fit
anticipation,chord_progression_contexts,1,dominant_seventh,dominant,moderate_fit
anticipation,chord_progression_contexts,1,diminished_seventh,dominant,moderate_fit
anticipation,chord_progression_contexts,1,half_diminished,dominant,moderate_fit
anticipation,chord_progression_contexts,1,minor_major_seventh,dominant,moderate_fit
anticipation,chord_progression_contexts,1,ninth,dominant,moderate_fit
anticipation,chord_progression_contexts,1,eleventh,dominant,moderate_fit
anticipation,chord_progression_contexts,1,thirteenth,dominant,moderate_fit
anticipation,chord_progression_contexts,1,add9,tonic,excellent_fit
anticipation,chord_progression_contexts,1,sus2,tonic,excellent_fit
anticipation,chord_progression_contexts,1,sus4,tonic,excellent_fit
escape_tone,stable_harmonic_contexts,2,major,tonic,excellent_fit
escape_tone,stable_harmonic_contexts,2,minor,tonic,excellent_fit
escape_tone,stable_harmonic_contexts,2,diminished,predominant,moderate_fit
escape_tone,stable_harmonic_contexts,2,augmented,tonic,excellent_fit
escape_tone,stable_harmonic_contexts,2,major_seventh,dominant,moderate_fit
escape_tone,stable_harmonic_contexts,2,minor_seventh,dominant,moderate_fit
escape_tone,stable_harmonic_contexts,2,dominant_seventh,dominant,moderate_fit
escape_tone,stable_harmonic_contexts,2,diminished_seventh,dominant,moderate_fit
escape_tone,stable_harmonic_contexts,2,half_diminished,dominant,moderate_fit
escape_tone,stable_harmonic_contexts,2,minor_major_seventh,dominant,moderate_fit
escape_tone,stable_harmonic_contexts,2,ninth,dominant,moderate_fit
escape_tone,stable_harmonic_contexts,2,eleventh,dominant,moderate_fit
escape_tone,stable_harmonic_contexts,2,thirteenth,dominant,moderate_fit
escape_tone,stable_harmonic_contexts,2,add9,tonic,excellent_fit
escape_tone,stable_harmonic_contexts,2,sus2,tonic,excellent_fit
escape_tone,stable_harmonic_contexts,2,sus4,tonic,excellent_fit
cambiata,Renaissance_modal_contexts,2,major,tonic,excellent_fit
cambiata,Renaissance_modal_contexts,2,minor,tonic,excellent_fit
cambiata,Renaissance_modal_contexts,2,diminished,predominant,moderate_fit
cambiata,Renaissance_modal_contexts,2,augmented,tonic,excellent_fit
cambiata,Renaissance_modal_contexts,2,major_seventh,dominant,moderate_fit
cambiata,Renaissance_modal_contexts,2,minor_seventh,dominant,moderate_fit
cambiata,Renaissance_modal_contexts,2,dominant_seventh,dominant,moderate_fit
cambiata,Renaissance_modal_contexts,2,diminished_seventh,dominant,moderate_fit
cambiata,Renaissance_modal_contexts,2,half_diminished,dominant,moderate_fit
cambiata,Renaissance_modal_contexts,2,minor_major_seventh,dominant,moderate_fit
cambiata,Renaissance_modal_contexts,2,ninth,dominant,moderate_fit
cambiata,Renaissance_modal_contexts,2,eleventh,dominant,moderate_fit
cambiata,Renaissance_modal_contexts,2,thirteenth,dominant,moderate_fit
cambiata,Renaissance_modal_contexts,2,add9,tonic,excellent_fit
cambiata,Renaissance_modal_contexts,2,sus2,tonic,excellent_fit
cambiata,Renaissance_modal_contexts,2,sus4,tonic,excellent_fit
nota_cambiata,various_contexts,2,major,tonic,excellent_fit
nota_cambiata,various_contexts,2,minor,tonic,excellent_fit
nota_cambiata,various_contexts,2,diminished,predominant,moderate_fit
nota_cambiata,various_contexts,2,augmented,tonic,excellent_fit
nota_cambiata,various_contexts,2,major_seventh,dominant,moderate_fit
nota_cambiata,various_contexts,2,minor_seventh,dominant,moderate_fit
nota_cambiata,various_contexts,2,dominant_seventh,dominant,moderate_fit
nota_cambiata,various_contexts,2,diminished_seventh,dominant,moderate_fit
nota_cambiata,various_contexts,2,half_diminished,dominant,moderate_fit
nota_cambiata,various_contexts,2,minor_major_seventh,dominant,moderate_fit
nota_cambiata,various_contexts,2,ninth,dominant,moderate_fit
nota_cambiata,various_contexts,2,eleventh,dominant,moderate_fit
nota_cambiata,various_contexts,2,thirteenth,dominant,moderate_fit
nota_cambiata,various_contexts,2,add9,tonic,excellent_fit
nota_cambiata,various_contexts,2,sus2,tonic,excellent_fit
nota_cambiata,various_contexts,2,sus4,tonic,excellent_fit
changing_tones,various_contexts,2,major,tonic,excellent_fit
changing_tones,various_contexts,2,minor,tonic,excellent_fit
changing_tones,various_contexts,2,diminished,predominant,moderate_fit
changing_tones,various_contexts,2,augmented,tonic,excellent_fit
changing_tones,various_contexts,2,major_seventh,dominant,moderate_fit
changing_tones,various_contexts,2,minor_seventh,dominant,moderate_fit
changing_tones,various_contexts,2,dominant_seventh,dominant,moderate_fit
changing_tones,various_contexts,2,diminished_seventh,dominant,moderate_fit
changing_tones,various_contexts,2,half_diminished,dominant,moderate_fit
changing_tones,various_contexts,2,minor_major_seventh,dominant,moderate_fit
changing_tones,various_contexts,2,ninth,dominant,moderate_fit
changing_tones,various_contexts,2,eleventh,dominant,moderate_fit
changing_tones,various_contexts,2,thirteenth,dominant,moderate_fit
changing_tones,various_contexts,2,add9,tonic,excellent_fit
changing_tones,various_contexts,2,sus2,tonic,excellent_fit
changing_tones,various_contexts,2,sus4,tonic,excellent_fit
double_neighbor,various_contexts,2,major,tonic,excellent_fit
double_neighbor,various_contexts,2,minor,tonic,excellent_fit
double_neighbor,various_contexts,2,diminished,predominant,moderate_fit
double_neighbor,various_contexts,2,augmented,tonic,excellent_fit
double_neighbor,various_contexts,2,major_seventh,dominant,moderate_fit
double_neighbor,various_contexts,2,minor_seventh,dominant,moderate_fit
double_neighbor,various_contexts,2,dominant_seventh,dominant,moderate_fit
double_neighbor,various_contexts,2,diminished_seventh,dominant,moderate_fit
double_neighbor,various_contexts,2,half_diminished,dominant,moderate_fit
double_neighbor,various_contexts,2,minor_major_seventh,dominant,moderate_fit
double_neighbor,various_contexts,2,ninth,dominant,moderate_fit
double_neighbor,various_contexts,2,eleventh,dominant,moderate_fit
double_neighbor,various_contexts,2,thirteenth,dominant,moderate_fit
double_neighbor,various_contexts,2,add9,tonic,excellent_fit
double_neighbor,various_contexts,2,sus2,tonic,excellent_fit
double_neighbor,various_contexts,2,sus4,tonic,excellent_fit
pedal_point,various_contexts,3,major,tonic,moderate_fit
pedal_point,various_contexts,3,minor,tonic,moderate_fit
pedal_point,various_contexts,3,diminished,predominant,moderate_fit
pedal_point,various_contexts,3,augmented,tonic,moderate_fit
pedal_point,various_contexts,3,major_seventh,dominant,moderate_fit
pedal_point,various_contexts,3,minor_seventh,dominant,moderate_fit
pedal_point,various_contexts,3,dominant_seventh,dominant,moderate_fit
pedal_point,various_contexts,3,diminished_seventh,dominant,moderate_fit
pedal_point,various_contexts,3,half_diminished,dominant,moderate_fit
pedal_point,various_contexts,3,minor_major_seventh,dominant,moderate_fit
pedal_point,various_contexts,3,ninth,dominant,moderate_fit
pedal_point,various_contexts,3,eleventh,dominant,moderate_fit
pedal_point,various_contexts,3,thirteenth,dominant,moderate_fit
pedal_point,various_contexts,3,add9,tonic,moderate_fit
pedal_point,various_contexts,3,sus2,tonic,moderate_fit
pedal_point,various_contexts,3,sus4,tonic,moderate_fit
inverted_pedal,various_contexts,3,major,tonic,moderate_fit
inverted_pedal,various_contexts,3,minor,tonic,moderate_fit
inverted_pedal,various_contexts,3,diminished,predominant,moderate_fit
inverted_pedal,various_contexts,3,augmented,tonic,moderate_fit
inverted_pedal,various_contexts,3,major_seventh,dominant,moderate_fit
inverted_pedal,various_contexts,3,minor_seventh,dominant,moderate_fit
inverted_pedal,various_contexts,3,dominant_seventh,dominant,moderate_fit
inverted_pedal,various_contexts,3,diminished_seventh,dominant,moderate_fit
inverted_pedal,various_contexts,3,half_diminished,dominant,moderate_fit
inverted_pedal,various_contexts,3,minor_major_seventh,dominant,moderate_fit
inverted_pedal,various_contexts,3,ninth,dominant,moderate_fit
inverted_pedal,various_contexts,3,eleventh,dominant,moderate_fit
inverted_pedal,various_contexts,3,thirteenth,dominant,moderate_fit
inverted_pedal,various_contexts,3,add9,tonic,moderate_fit
inverted_pedal,various_contexts,3,sus2,tonic,moderate_fit
inverted_pedal,various_contexts,3,sus4,tonic,moderate_fit
internal_pedal,various_contexts,3,major,tonic,moderate_fit
internal_pedal,various_contexts,3,minor,tonic,moderate_fit
internal_pedal,various_contexts,3,diminished,predominant,moderate_fit
internal_pedal,various_contexts,3,augmented,tonic,moderate_fit
internal_pedal,various_contexts,3,major_seventh,dominant,moderate_fit
internal_pedal,various_contexts,3,minor_seventh,dominant,moderate_fit
internal_pedal,various_contexts,3,dominant_seventh,dominant,moderate_fit
internal_pedal,various_contexts,3,diminished_seventh,dominant,moderate_fit
internal_pedal,various_contexts,3,half_diminished,dominant,moderate_fit
internal_pedal,various_contexts,3,minor_major_seventh,dominant,moderate_fit
internal_pedal,various_contexts,3,ninth,dominant,moderate_fit
internal_pedal,various_contexts,3,eleventh,dominant,moderate_fit
internal_pedal,various_contexts,3,thirteenth,dominant,moderate_fit
internal_pedal,various_contexts,3,add9,tonic,moderate_fit
internal_pedal,various_contexts,3,sus2,tonic,moderate_fit
internal_pedal,various_contexts,3,sus4,tonic,moderate_fit
accented_passing_tone,various_contexts,3,major,tonic,moderate_fit
accented_passing_tone,various_contexts,3,minor,tonic,moderate_fit
accented_passing_tone,various_contexts,3,diminished,predominant,moderate_fit
accented_passing_tone,various_contexts,3,augmented,tonic,moderate_fit
accented_passing_tone,various_contexts,3,major_seventh,dominant,moderate_fit
accented_passing_tone,various_contexts,3,minor_seventh,dominant,moderate_fit
accented_passing_tone,various_contexts,3,dominant_seventh,dominant,moderate_fit
accented_passing_tone,various_contexts,3,diminished_seventh,dominant,moderate_fit
accented_passing_tone,various_contexts,3,half_diminished,dominant,moderate_fit
accented_passing_tone,various_contexts,3,minor_major_seventh,dominant,moderate_fit
accented_passing_tone,various_contexts,3,ninth,dominant,moderate_fit
accented_passing_tone,various_contexts,3,eleventh,dominant,moderate_fit
accented_passing_tone,various_contexts,3,thirteenth,dominant,moderate_fit
accented_passing_tone,various_contexts,3,add9,tonic,moderate_fit
accented_passing_tone,various_contexts,3,sus2,tonic,moderate_fit
accented_passing_tone,various_contexts,3,sus4,tonic,moderate_fit
chromatic_passing_tone,various_contexts,2,major,tonic,excellent_fit
chromatic_passing_tone,various_contexts,2,minor,tonic,excellent_fit
chromatic_passing_tone,various_contexts,2,diminished,predominant,moderate_fit
chromatic_passing_tone,various_contexts,2,augmented,tonic,excellent_fit
chromatic_passing_tone,various_contexts,2,major_seventh,dominant,moderate_fit
chromatic_passing_tone,various_contexts,2,minor_seventh,dominant,moderate_fit
chromatic_passing_tone,various_contexts,2,dominant_seventh,dominant,moderate_fit
chromatic_passing_tone,various_contexts,2,diminished_seventh,dominant,moderate_fit
chromatic_passing_tone,various_contexts,2,half_diminished,dominant,moderate_fit
chromatic_passing_tone,various_contexts,2,minor_major_seventh,dominant,moderate_fit
chromatic_passing_tone,various_contexts,2,ninth,dominant,moderate_fit
chromatic_passing_tone,various_contexts,2,eleventh,dominant,moderate_fit
chromatic_passing_tone,various_contexts,2,thirteenth,dominant,moderate_fit
chromatic_passing_tone,various_contexts,2,add9,tonic,excellent_fit
chromatic_passing_tone,various_contexts,2,sus2,tonic,excellent_fit
chromatic_passing_tone,various_contexts,2,sus4,tonic,excellent_fit
diatonic_passing_tone,various_contexts,2,major,tonic,excellent_fit
diatonic_passing_tone,various_contexts,2,minor,tonic,excellent_fit
diatonic_passing_tone,various_contexts,2,diminished,predominant,moderate_fit
diatonic_passing_tone,various_contexts,2,augmented,tonic,excellent_fit
diatonic_passing_tone,various_contexts,2,major_seventh,dominant,moderate_fit
diatonic_passing_tone,various_contexts,2,minor_seventh,dominant,moderate_fit
diatonic_passing_tone,various_contexts,2,dominant_seventh,dominant,moderate_fit
diatonic_passing_tone,various_contexts,2,diminished_seventh,dominant,moderate_fit
diatonic_passing_tone,various_contexts,2,half_diminished,dominant,moderate_fit
diatonic_passing_tone,various_contexts,2,minor_major_seventh,dominant,moderate_fit
diatonic_passing_tone,various_contexts,2,ninth,dominant,moderate_fit
diatonic_passing_tone,various_contexts,2,eleventh,dominant,moderate_fit
diatonic_passing_tone,various_contexts,2,thirteenth,dominant,moderate_fit
diatonic_passing_tone,various_contexts,2,add9,tonic,excellent_fit
diatonic_passing_tone,various_contexts,2,sus2,tonic,excellent_fit
diatonic_passing_tone,various_contexts,2,sus4,tonic,excellent_fit
incomplete_neighbor,various_contexts,2,major,tonic,excellent_fit
incomplete_neighbor,various_contexts,2,minor,tonic,excellent_fit
incomplete_neighbor,various_contexts,2,diminished,predominant,moderate_fit
incomplete_neighbor,various_contexts,2,augmented,tonic,excellent_fit
incomplete_neighbor,various_contexts,2,major_seventh,dominant,moderate_fit
incomplete_neighbor,various_contexts,2,minor_seventh,dominant,moderate_fit
incomplete_neighbor,various_contexts,2,dominant_seventh,dominant,moderate_fit
incomplete_neighbor,various_contexts,2,diminished_seventh,dominant,moderate_fit
incomplete_neighbor,various_contexts,2,half_diminished,dominant,moderate_fit
incomplete_neighbor,various_contexts,2,minor_major_seventh,dominant,moderate_fit
incomplete_neighbor,various_contexts,2,ninth,dominant,moderate_fit
incomplete_neighbor,various_contexts,2,eleventh,dominant,moderate_fit
incomplete_neighbor,various_contexts,2,thirteenth,dominant,moderate_fit
incomplete_neighbor,various_contexts,2,add9,tonic,excellent_fit
incomplete_neighbor,various_contexts,2,sus2,tonic,excellent_fit
incomplete_neighbor,various_contexts,2,sus4,tonic,excellent_fit
appoggiatura_group,various_contexts,5,major,tonic,moderate_fit
appoggiatura_group,various_contexts,5,minor,tonic,moderate_fit
appoggiatura_group,various_contexts,5,diminished,predominant,moderate_fit
appoggiatura_group,various_contexts,5,augmented,tonic,moderate_fit
appoggiatura_group,various_contexts,5,major_seventh,dominant,excellent_fit
appoggiatura_group,various_contexts,5,minor_seventh,dominant,excellent_fit
appoggiatura_group,various_contexts,5,dominant_seventh,dominant,excellent_fit
appoggiatura_group,various_contexts,5,diminished_seventh,dominant,excellent_fit
appoggiatura_group,various_contexts,5,half_diminished,dominant,excellent_fit
appoggiatura_group,various_contexts,5,minor_major_seventh,dominant,excellent_fit
appoggiatura_group,various_contexts,5,ninth,dominant,excellent_fit
appoggiatura_group,various_contexts,5,eleventh,dominant,excellent_fit
appoggiatura_group,various_contexts,5,thirteenth,dominant,excellent_fit
appoggiatura_group,various_contexts,5,add9,tonic,moderate_fit
appoggiatura_group,various_contexts,5,sus2,tonic,moderate_fit
appoggiatura_group,various_contexts,5,sus4,tonic,moderate_fit
suspension_chain,various_contexts,4,major,tonic,moderate_fit
suspension_chain,various_contexts,4,minor,tonic,moderate_fit
suspension_chain,various_contexts,4,diminished,predominant,moderate_fit
suspension_chain,various_contexts,4,augmented,tonic,moderate_fit
suspension_chain,various_contexts,4,major_seventh,dominant,excellent_fit
suspension_chain,various_contexts,4,minor_seventh,dominant,excellent_fit
suspension_chain,various_contexts,4,dominant_seventh,dominant,excellent_fit
suspension_chain,various_contexts,4,diminished_seventh,dominant,excellent_fit
suspension_chain,various_contexts,4,half_diminished,dominant,excellent_fit
suspension_chain,various_contexts,4,minor_major_seventh,dominant,excellent_fit
suspension_chain,various_contexts,4,ninth,dominant,excellent_fit
suspension_chain,various_contexts,4,eleventh,dominant,excellent_fit
suspension_chain,various_contexts,4,thirteenth,dominant,excellent_fit
suspension_chain,various_contexts,4,add9,tonic,moderate_fit
suspension_chain,various_contexts,4,sus2,tonic,moderate_fit
suspension_chain,various_contexts,4,sus4,tonic,moderate_fit
retardation_chain,various_contexts,4,major,tonic,moderate_fit
retardation_chain,various_contexts,4,minor,tonic,moderate_fit
retardation_chain,various_contexts,4,diminished,predominant,moderate_fit
retardation_chain,various_contexts,4,augmented,tonic,moderate_fit
retardation_chain,various_contexts,4,major_seventh,dominant,excellent_fit
retardation_chain,various_contexts,4,minor_seventh,dominant,excellent_fit
retardation_chain,various_contexts,4,dominant_seventh,dominant,excellent_fit
retardation_chain,various_contexts,4,diminished_seventh,dominant,excellent_fit
retardation_chain,various_contexts,4,half_diminished,dominant,excellent_fit
retardation_chain,various_contexts,4,minor_major_seventh,dominant,excellent_fit
retardation_chain,various_contexts,4,ninth,dominant,excellent_fit
retardation_chain,various_contexts,4,eleventh,dominant,excellent_fit
retardation_chain,various_contexts,4,thirteenth,dominant,excellent_fit
retardation_chain,various_contexts,4,add9,tonic,moderate_fit
retardation_chain,various_contexts,4,sus2,tonic,moderate_fit
retardation_chain,various_contexts,4,sus4,tonic,moderate_fit
free_tone,various_contexts,3,major,tonic,moderate_fit
free_tone,various_contexts,3,minor,tonic,moderate_fit
free_tone,various_contexts,3,diminished,predominant,moderate_fit
free_tone,various_contexts,3,augmented,tonic,moderate_fit
free_tone,various_contexts,3,major_seventh,dominant,moderate_fit
free_tone,various_contexts,3,minor_seventh,dominant,moderate_fit
free_tone,various_contexts,3,dominant_seventh,dominant,moderate_fit
free_tone,various_contexts,3,diminished_seventh,dominant,moderate_fit
free_tone,various_contexts,3,half_diminished,dominant,moderate_fit
free_tone,various_contexts,3,minor_major_seventh,dominant,moderate_fit
free_tone,various_contexts,3,ninth,dominant,moderate_fit
free_tone,various_contexts,3,eleventh,dominant,moderate_fit
free_tone,various_contexts,3,thirteenth,dominant,moderate_fit
free_tone,various_contexts,3,add9,tonic,moderate_fit
free_tone,various_contexts,3,sus2,tonic,moderate_fit
free_tone,various_contexts,3,sus4,tonic,moderate_fit
auxiliary_tone,various_contexts,2,major,tonic,excellent_fit
auxiliary_tone,various_contexts,2,minor,tonic,excellent_fit
auxiliary_tone,various_contexts,2,diminished,predominant,moderate_fit
auxiliary_tone,various_contexts,2,augmented,tonic,excellent_fit
auxiliary_tone,various_contexts,2,major_seventh,dominant,moderate_fit
auxiliary_tone,various_contexts,2,minor_seventh,dominant,moderate_fit
auxiliary_tone,various_contexts,2,dominant_seventh,dominant,moderate_fit
auxiliary_tone,various_contexts,2,diminished_seventh,dominant,moderate_fit
auxiliary_tone,various_contexts,2,half_diminished,dominant,moderate_fit
auxiliary_tone,various_contexts,2,minor_major_seventh,dominant,moderate_fit
auxiliary_tone,various_contexts,2,ninth,dominant,moderate_fit
auxiliary_tone,various_contexts,2,eleventh,dominant,moderate_fit
auxiliary_tone,various_contexts,2,thirteenth,dominant,moderate_fit
auxiliary_tone,various_contexts,2,add9,tonic,excellent_fit
auxiliary_tone,various_contexts,2,sus2,tonic,excellent_fit
auxiliary_tone,various_contexts,2,sus4,tonic,excellent_fit
grace_note,various_contexts,1,major,tonic,excellent_fit
grace_note,various_contexts,1,minor,tonic,excellent_fit
grace_note,various_contexts,1,diminished,predominant,moderate_fit
grace_note,various_contexts,1,augmented,tonic,excellent_fit
grace_note,various_contexts,1,major_seventh,dominant,moderate_fit
grace_note,various_contexts,1,minor_seventh,dominant,moderate_fit
grace_note,various_contexts,1,dominant_seventh,dominant,moderate_fit
grace_note,various_contexts,1,diminished_seventh,dominant,moderate_fit
grace_note,various_contexts,1,half_diminished,dominant,moderate_fit
grace_note,various_contexts,1,minor_major_seventh,dominant,moderate_fit
grace_note,various_contexts,1,ninth,dominant,moderate_fit
grace_note,various_contexts,1,eleventh,dominant,moderate_fit
grace_note,various_contexts,1,thirteenth,dominant,moderate_fit
grace_note,various_contexts,1,add9,tonic,excellent_fit
grace_note,various_contexts,1,sus2,tonic,excellent_fit
grace_note,various_contexts,1,sus4,tonic,excellent_fit
mordent,various_contexts,2,major,tonic,excellent_fit
mordent,various_contexts,2,minor,tonic,excellent_fit
mordent,various_contexts,2,diminished,predominant,moderate_fit
mordent,various_contexts,2,augmented,tonic,excellent_fit
mordent,various_contexts,2,major_seventh,dominant,moderate_fit
mordent,various_contexts,2,minor_seventh,dominant,moderate_fit
mordent,various_contexts,2,dominant_seventh,dominant,moderate_fit
mordent,various_contexts,2,diminished_seventh,dominant,moderate_fit
mordent,various_contexts,2,half_diminished,dominant,moderate_fit
