nct_type,harmonic_impact,dissonance_level,voice_leading_category,chord_type,chord_function,harmonic_context_type
appoggiatura_group,very_strong_dissonance,5,leap,minor_seventh,dominant,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,ninth,dominant,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,sus2,tonic,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,sus4,tonic,strong_dissonance_context
appoggiatura_group,very_strong_dissonance,5,leap,thirteenth,dominant,strong_dissonance_context
auxiliary_tone,mild_dissonance,2,stepwise,add9,tonic,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,augmented,tonic,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,diminished,predominant,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,diminished_seventh,dominant,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,dominant_seventh,dominant,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,eleventh,dominant,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,half_diminished,dominant,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,major,tonic,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,major_seventh,dominant,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,minor,tonic,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,minor_major_seventh,dominant,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,minor_seventh,dominant,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,ninth,dominant,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,sus2,tonic,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,sus4,tonic,consonant_context
auxiliary_tone,mild_dissonance,2,stepwise,thirteenth,dominant,consonant_context
cambiata,mild_dissonance,2,stepwise,add9,tonic,consonant_context
cambiata,mild_dissonance,2,stepwise,augmented,tonic,consonant_context
cambiata,mild_dissonance,2,stepwise,diminished,predominant,consonant_context
cambiata,mild_dissonance,2,stepwise,diminished_seventh,dominant,consonant_context
cambiata,mild_dissonance,2,stepwise,dominant_seventh,dominant,consonant_context
cambiata,mild_dissonance,2,stepwise,eleventh,dominant,consonant_context
cambiata,mild_dissonance,2,stepwise,half_diminished,dominant,consonant_context
cambiata,mild_dissonance,2,stepwise,major,tonic,consonant_context
cambiata,mild_dissonance,2,stepwise,major_seventh,dominant,consonant_context
cambiata,mild_dissonance,2,stepwise,minor,tonic,consonant_context
cambiata,mild_dissonance,2,stepwise,minor_major_seventh,dominant,consonant_context
cambiata,mild_dissonance,2,stepwise,minor_seventh,dominant,consonant_context
cambiata,mild_dissonance,2,stepwise,ninth,dominant,consonant_context
cambiata,mild_dissonance,2,stepwise,sus2,tonic,consonant_context
cambiata,mild_dissonance,2,stepwise,sus4,tonic,consonant_context
cambiata,mild_dissonance,2,stepwise,thirteenth,dominant,consonant_context
changing_tones,mild_dissonances,2,stepwise,add9,tonic,consonant_context
changing_tones,mild_dissonances,2,stepwise,augmented,tonic,consonant_context
changing_tones,mild_dissonances,2,stepwise,diminished,predominant,consonant_context
changing_tones,mild_dissonances,2,stepwise,diminished_seventh,dominant,consonant_context
changing_tones,mild_dissonances,2,stepwise,dominant_seventh,dominant,consonant_context
changing_tones,mild_dissonances,2,stepwise,eleventh,dominant,consonant_context
changing_tones,mild_dissonances,2,stepwise,half_diminished,dominant,consonant_context
changing_tones,mild_dissonances,2,stepwise,major,tonic,consonant_context
changing_tones,mild_dissonances,2,stepwise,major_seventh,dominant,consonant_context
changing_tones,mild_dissonances,2,stepwise,minor,tonic,consonant_context
changing_tones,mild_dissonances,2,stepwise,minor_major_seventh,dominant,consonant_context
changing_tones,mild_dissonances,2,stepwise,minor_seventh,dominant,consonant_context
changing_tones,mild_dissonances,2,stepwise,ninth,dominant,consonant_context
changing_tones,mild_dissonances,2,stepwise,sus2,tonic,consonant_context
changing_tones,mild_dissonances,2,stepwise,sus4,tonic,consonant_context
changing_tones,mild_dissonances,2,stepwise,thirteenth,dominant,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,add9,tonic,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,augmented,tonic,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,diminished,predominant,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,diminished_seventh,dominant,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,dominant_seventh,dominant,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,eleventh,dominant,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,half_diminished,dominant,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,major,tonic,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,major_seventh,dominant,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,minor,tonic,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,minor_major_seventh,dominant,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,minor_seventh,dominant,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,ninth,dominant,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,sus2,tonic,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,sus4,tonic,consonant_context
chromatic_passing_tone,mild_dissonance,2,other,thirteenth,dominant,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,add9,tonic,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,augmented,tonic,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,diminished,predominant,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,diminished_seventh,dominant,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,dominant_seventh,dominant,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,eleventh,dominant,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,half_diminished,dominant,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,major,tonic,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,major_seventh,dominant,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,minor,tonic,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,minor_major_seventh,dominant,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,minor_seventh,dominant,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,ninth,dominant,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,sus2,tonic,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,sus4,tonic,consonant_context
diatonic_passing_tone,mild_dissonance,2,other,thirteenth,dominant,consonant_context
double_neighbor,mild_dissonances,2,other,add9,tonic,consonant_context
double_neighbor,mild_dissonances,2,other,augmented,tonic,consonant_context
double_neighbor,mild_dissonances,2,other,diminished,predominant,consonant_context
double_neighbor,mild_dissonances,2,other,diminished_seventh,dominant,consonant_context
double_neighbor,mild_dissonances,2,other,dominant_seventh,dominant,consonant_context
double_neighbor,mild_dissonances,2,other,eleventh,dominant,consonant_context
double_neighbor,mild_dissonances,2,other,half_diminished,dominant,consonant_context
double_neighbor,mild_dissonances,2,other,major,tonic,consonant_context
double_neighbor,mild_dissonances,2,other,major_seventh,dominant,consonant_context
double_neighbor,mild_dissonances,2,other,minor,tonic,consonant_context
double_neighbor,mild_dissonances,2,other,minor_major_seventh,dominant,consonant_context
double_neighbor,mild_dissonances,2,other,minor_seventh,dominant,consonant_context
double_neighbor,mild_dissonances,2,other,ninth,dominant,consonant_context
double_neighbor,mild_dissonances,2,other,sus2,tonic,consonant_context
double_neighbor,mild_dissonances,2,other,sus4,tonic,consonant_context
double_neighbor,mild_dissonances,2,other,thirteenth,dominant,consonant_context
escape_tone,mild_to_moderate,2,stepwise,add9,tonic,consonant_context
escape_tone,mild_to_moderate,2,stepwise,augmented,tonic,consonant_context
escape_tone,mild_to_moderate,2,stepwise,diminished,predominant,consonant_context
escape_tone,mild_to_moderate,2,stepwise,diminished_seventh,dominant,consonant_context
escape_tone,mild_to_moderate,2,stepwise,dominant_seventh,dominant,consonant_context
escape_tone,mild_to_moderate,2,stepwise,eleventh,dominant,consonant_context
escape_tone,mild_to_moderate,2,stepwise,half_diminished,dominant,consonant_context
escape_tone,mild_to_moderate,2,stepwise,major,tonic,consonant_context
escape_tone,mild_to_moderate,2,stepwise,major_seventh,dominant,consonant_context
escape_tone,mild_to_moderate,2,stepwise,minor,tonic,consonant_context
escape_tone,mild_to_moderate,2,stepwise,minor_major_seventh,dominant,consonant_context
escape_tone,mild_to_moderate,2,stepwise,minor_seventh,dominant,consonant_context
escape_tone,mild_to_moderate,2,stepwise,ninth,dominant,consonant_context
escape_tone,mild_to_moderate,2,stepwise,sus2,tonic,consonant_context
escape_tone,mild_to_moderate,2,stepwise,sus4,tonic,consonant_context
escape_tone,mild_to_moderate,2,stepwise,thirteenth,dominant,consonant_context
free_tone,variable_impact,3,other,add9,tonic,mild_dissonance_context
free_tone,variable_impact,3,other,augmented,tonic,mild_dissonance_context
free_tone,variable_impact,3,other,diminished,predominant,mild_dissonance_context
free_tone,variable_impact,3,other,diminished_seventh,dominant,mild_dissonance_context
free_tone,variable_impact,3,other,dominant_seventh,dominant,mild_dissonance_context
free_tone,variable_impact,3,other,eleventh,dominant,mild_dissonance_context
free_tone,variable_impact,3,other,half_diminished,dominant,mild_dissonance_context
free_tone,variable_impact,3,other,major,tonic,mild_dissonance_context
free_tone,variable_impact,3,other,major_seventh,dominant,mild_dissonance_context
free_tone,variable_impact,3,other,minor,tonic,mild_dissonance_context
free_tone,variable_impact,3,other,minor_major_seventh,dominant,mild_dissonance_context
free_tone,variable_impact,3,other,minor_seventh,dominant,mild_dissonance_context
free_tone,variable_impact,3,other,ninth,dominant,mild_dissonance_context
free_tone,variable_impact,3,other,sus2,tonic,mild_dissonance_context
free_tone,variable_impact,3,other,sus4,tonic,mild_dissonance_context
free_tone,variable_impact,3,other,thirteenth,dominant,mild_dissonance_context
grace_note,brief_dissonance,1,other,add9,tonic,consonant_context
grace_note,brief_dissonance,1,other,augmented,tonic,consonant_context
grace_note,brief_dissonance,1,other,diminished,predominant,consonant_context
grace_note,brief_dissonance,1,other,diminished_seventh,dominant,consonant_context
grace_note,brief_dissonance,1,other,dominant_seventh,dominant,consonant_context
grace_note,brief_dissonance,1,other,eleventh,dominant,consonant_context
grace_note,brief_dissonance,1,other,half_diminished,dominant,consonant_context
grace_note,brief_dissonance,1,other,major,tonic,consonant_context
grace_note,brief_dissonance,1,other,major_seventh,dominant,consonant_context
grace_note,brief_dissonance,1,other,minor,tonic,consonant_context
grace_note,brief_dissonance,1,other,minor_major_seventh,dominant,consonant_context
grace_note,brief_dissonance,1,other,minor_seventh,dominant,consonant_context
grace_note,brief_dissonance,1,other,ninth,dominant,consonant_context
grace_note,brief_dissonance,1,other,sus2,tonic,consonant_context
grace_note,brief_dissonance,1,other,sus4,tonic,consonant_context
grace_note,brief_dissonance,1,other,thirteenth,dominant,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,add9,tonic,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,augmented,tonic,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,diminished,predominant,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,diminished_seventh,dominant,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,dominant_seventh,dominant,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,eleventh,dominant,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,half_diminished,dominant,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,major,tonic,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,major_seventh,dominant,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,minor,tonic,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,minor_major_seventh,dominant,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,minor_seventh,dominant,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,ninth,dominant,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,sus2,tonic,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,sus4,tonic,consonant_context
incomplete_neighbor,mild_dissonance,2,leap,thirteenth,dominant,consonant_context
internal_pedal,mild_to_strong,3,other,add9,tonic,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,augmented,tonic,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,diminished,predominant,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,diminished_seventh,dominant,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,dominant_seventh,dominant,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,eleventh,dominant,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,half_diminished,dominant,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,major,tonic,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,major_seventh,dominant,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,minor,tonic,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,minor_major_seventh,dominant,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,minor_seventh,dominant,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,ninth,dominant,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,sus2,tonic,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,sus4,tonic,mild_dissonance_context
internal_pedal,mild_to_strong,3,other,thirteenth,dominant,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,add9,tonic,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,augmented,tonic,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,diminished,predominant,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,diminished_seventh,dominant,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,dominant_seventh,dominant,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,eleventh,dominant,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,half_diminished,dominant,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,major,tonic,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,major_seventh,dominant,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,minor,tonic,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,minor_major_seventh,dominant,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,minor_seventh,dominant,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,ninth,dominant,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,sus2,tonic,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,sus4,tonic,mild_dissonance_context
inverted_pedal,moderate_dissonance,3,other,thirteenth,dominant,mild_dissonance_context
lower_neighbor,mild_dissonance,2,stepwise,add9,tonic,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,augmented,tonic,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,diminished,predominant,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,diminished_seventh,dominant,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,dominant_seventh,dominant,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,eleventh,dominant,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,half_diminished,dominant,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,major,tonic,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,major_seventh,dominant,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,minor,tonic,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,minor_major_seventh,dominant,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,minor_seventh,dominant,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,ninth,dominant,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,sus2,tonic,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,sus4,tonic,consonant_context
lower_neighbor,mild_dissonance,2,stepwise,thirteenth,dominant,consonant_context
mordent,rapid_dissonances,2,stepwise,add9,tonic,consonant_context
mordent,rapid_dissonances,2,stepwise,augmented,tonic,consonant_context
mordent,rapid_dissonances,2,stepwise,diminished,predominant,consonant_context
mordent,rapid_dissonances,2,stepwise,diminished_seventh,dominant,consonant_context
mordent,rapid_dissonances,2,stepwise,dominant_seventh,dominant,consonant_context
mordent,rapid_dissonances,2,stepwise,eleventh,dominant,consonant_context
mordent,rapid_dissonances,2,stepwise,half_diminished,dominant,consonant_context
mordent,rapid_dissonances,2,stepwise,major,tonic,consonant_context
mordent,rapid_dissonances,2,stepwise,major_seventh,dominant,consonant_context
mordent,rapid_dissonances,2,stepwise,minor,tonic,consonant_context
mordent,rapid_dissonances,2,stepwise,minor_major_seventh,dominant,consonant_context
mordent,rapid_dissonances,2,stepwise,minor_seventh,dominant,consonant_context
mordent,rapid_dissonances,2,stepwise,ninth,dominant,consonant_context
mordent,rapid_dissonances,2,stepwise,sus2,tonic,consonant_context
mordent,rapid_dissonances,2,stepwise,sus4,tonic,consonant_context
mordent,rapid_dissonances,2,stepwise,thirteenth,dominant,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,add9,tonic,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,augmented,tonic,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,diminished,predominant,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,diminished_seventh,dominant,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,dominant_seventh,dominant,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,eleventh,dominant,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,half_diminished,dominant,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,major,tonic,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,major_seventh,dominant,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,minor,tonic,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,minor_major_seventh,dominant,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,minor_seventh,dominant,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,ninth,dominant,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,sus2,tonic,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,sus4,tonic,consonant_context
neighboring_tone,mild_dissonance,2,stepwise,thirteenth,dominant,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,add9,tonic,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,augmented,tonic,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,diminished,predominant,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,diminished_seventh,dominant,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,dominant_seventh,dominant,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,eleventh,dominant,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,half_diminished,dominant,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,major,tonic,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,major_seventh,dominant,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,minor,tonic,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,minor_major_seventh,dominant,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,minor_seventh,dominant,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,ninth,dominant,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,sus2,tonic,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,sus4,tonic,consonant_context
nota_cambiata,mild_dissonance,2,stepwise,thirteenth,dominant,consonant_context
passing_tone,mild_dissonance,2,stepwise,add9,tonic,consonant_context
passing_tone,mild_dissonance,2,stepwise,augmented,tonic,consonant_context
passing_tone,mild_dissonance,2,stepwise,diminished,predominant,consonant_context
passing_tone,mild_dissonance,2,stepwise,diminished_seventh,dominant,consonant_context
passing_tone,mild_dissonance,2,stepwise,dominant_seventh,dominant,consonant_context
passing_tone,mild_dissonance,2,stepwise,eleventh,dominant,consonant_context
passing_tone,mild_dissonance,2,stepwise,half_diminished,dominant,consonant_context
passing_tone,mild_dissonance,2,stepwise,major,tonic,consonant_context
passing_tone,mild_dissonance,2,stepwise,major_seventh,dominant,consonant_context
passing_tone,mild_dissonance,2,stepwise,minor,tonic,consonant_context
passing_tone,mild_dissonance,2,stepwise,minor_major_seventh,dominant,consonant_context
passing_tone,mild_dissonance,2,stepwise,minor_seventh,dominant,consonant_context
passing_tone,mild_dissonance,2,stepwise,ninth,dominant,consonant_context
passing_tone,mild_dissonance,2,stepwise,sus2,tonic,consonant_context
passing_tone,mild_dissonance,2,stepwise,sus4,tonic,consonant_context
passing_tone,mild_dissonance,2,stepwise,thirteenth,dominant,consonant_context
pedal_point,variable_strong,3,other,add9,tonic,mild_dissonance_context
pedal_point,variable_strong,3,other,augmented,tonic,mild_dissonance_context
pedal_point,variable_strong,3,other,diminished,predominant,mild_dissonance_context
pedal_point,variable_strong,3,other,diminished_seventh,dominant,mild_dissonance_context
pedal_point,variable_strong,3,other,dominant_seventh,dominant,mild_dissonance_context
pedal_point,variable_strong,3,other,eleventh,dominant,mild_dissonance_context
pedal_point,variable_strong,3,other,half_diminished,dominant,mild_dissonance_context
pedal_point,variable_strong,3,other,major,tonic,mild_dissonance_context
pedal_point,variable_strong,3,other,major_seventh,dominant,mild_dissonance_context
pedal_point,variable_strong,3,other,minor,tonic,mild_dissonance_context
pedal_point,variable_strong,3,other,minor_major_seventh,dominant,mild_dissonance_context
pedal_point,variable_strong,3,other,minor_seventh,dominant,mild_dissonance_context
pedal_point,variable_strong,3,other,ninth,dominant,mild_dissonance_context
pedal_point,variable_strong,3,other,sus2,tonic,mild_dissonance_context
pedal_point,variable_strong,3,other,sus4,tonic,mild_dissonance_context
pedal_point,variable_strong,3,other,thirteenth,dominant,mild_dissonance_context
retardation,strong_dissonance,4,other,add9,tonic,strong_dissonance_context
retardation,strong_dissonance,4,other,augmented,tonic,strong_dissonance_context
retardation,strong_dissonance,4,other,diminished,predominant,strong_dissonance_context
retardation,strong_dissonance,4,other,diminished_seventh,dominant,strong_dissonance_context
retardation,strong_dissonance,4,other,dominant_seventh,dominant,strong_dissonance_context
retardation,strong_dissonance,4,other,eleventh,dominant,strong_dissonance_context
retardation,strong_dissonance,4,other,half_diminished,dominant,strong_dissonance_context
retardation,strong_dissonance,4,other,major,tonic,strong_dissonance_context
retardation,strong_dissonance,4,other,major_seventh,dominant,strong_dissonance_context
retardation,strong_dissonance,4,other,minor,tonic,strong_dissonance_context
retardation,strong_dissonance,4,other,minor_major_seventh,dominant,strong_dissonance_context
retardation,strong_dissonance,4,other,minor_seventh,dominant,strong_dissonance_context
retardation,strong_dissonance,4,other,ninth,dominant,strong_dissonance_context
retardation,strong_dissonance,4,other,sus2,tonic,strong_dissonance_context
retardation,strong_dissonance,4,other,sus4,tonic,strong_dissonance_context
retardation,strong_dissonance,4,other,thirteenth,dominant,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,add9,tonic,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,augmented,tonic,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,diminished,predominant,strong_dissonance_context
retardation_chain,strong_dissonances,4,other,diminished_seventh,dominant,strong_dissonance_context
