substitution_id,original_chord,substitute_chord,relationship_type,substitution_category,voice_leading_behavior,functional_preservation,common_tones,melodic_implications,harmonic_color_change,typical_contexts,voice_leading_difficulty,pedagogical_value,historical_period,jazz_classical_usage,theoretical_basis
borrowed_iv,IV,iv,minor_subdominant,Modal Interchange,"Major to minor subdominant, darker color",Subdominant function with modal mixture,"Root remains same, third lowered",Minor inflection in major key context,"Darker, more introspective subdominant","Popular music, folk, contemporary classical",Easy - simple third alteration,High - essential modal mixture concept,Folk to Modern,Both Classical and Popular,Borrowed from parallel minor key
sharp_eleven_sub,IV,IVM7#11,lydian_subdominant,Modal Substitution,Subdominant with raised fourth degree,Subdominant function with modal brightening,Lydian mode influence,Brightened subdominant character,"Bright, sophisticated subdominant color","Jazz harmony, contemporary classical, film music",Medium - modal understanding required,Medium - modal harmony concept,Modern Jazz,Jazz emphasis,"Lydian mode, raised fourth degree"
neapolitan_root,ii,bII,neapolitan_root_position,Pre-Dominant Substitution,"Flattened supertonic in root position, rare but powerful",Strong predominant with modal darkness,Chromatic relationships with surrounding harmonies,"Dramatic bass motion, unusual sonority","Very dark, exotic predominant color","Dramatic classical passages, contemporary classical",Expert - very difficult voice leading,Medium - specialized advanced technique,Classical to Modern,Classical emphasis,Root position Neapolitan harmony
neapolitan_sixth,ii,N6,neapolitan_sixth_substitute,Pre-Dominant Substitution,Flattened supertonic in first inversion,Enhanced predominant function with modal mixture,Half-step relationships create tension,Strong pull to dominant via half-step motion,"Darker, more intense predominant color","Classical and Romantic cadences, dramatic contexts",Advanced - chromatic voice leading required,High - essential classical harmony,Baroque to Romantic,Classical emphasis,"Flattened supertonic harmony, Phrygian mode influence"
I_for_vi,vi,I,relative_major_substitute,Relative Substitution,"Common tones preserved, root moves up by third","Relative stability increased, brighter resolution",1st and 3rd degrees shared,"Uplifting motion, brightening effect","Minor to major color, hopeful emotional shift","Modal interchange, brightening progressions",Easy - minimal voice movement,High - fundamental concept,Classical to Modern,Both Classical and Jazz,"Third relationship, major-minor duality"
iii_for_I,I,iii,mediant_substitute,Relative Substitution,"Two common tones, root moves up by third",Tonic function maintained with modal inflection,1st and 5th degrees shared,"Subtle modal inflection, voice independence","Slight modal darkening, sophisticated color","Jazz reharmonization, sophisticated pop progressions",Easy - good voice leading,Medium - advanced concept,Romantic to Modern,Primarily Jazz,"Mediant relationship, modal mixture"
vi_for_I,I,vi,relative_minor_substitute,Relative Substitution,"Common tones preserved, root moves down by third",Tonic function maintained with softer resolution,1st and 3rd degrees shared,Deceptive motion creates melodic continuation,"Major to minor color, softer emotional effect","Deceptive cadences, gentle resolutions, folk progressions",Easy - minimal voice movement,High - fundamental concept,Baroque to Modern,Both Classical and Jazz,"Third relationship, shared tones"
vi_for_IV,IV,vi,relative_minor_of_subdominant,Relative Substitution,"Common tone emphasis, different bass function",Predominant function shifts to relative emphasis,4th and 6th degrees relationship,Softer predominant approach to dominant,"Subdominant to submediant, gentler preparation","Folk progressions, gentle predominant function",Medium - bass motion consideration,Medium,Folk to Modern,Classical emphasis,Functional equivalence in predominant area
tritone_V7,V7,bII7,tritone_substitute,Tritone Substitution,"Tritone preserved in different inversion, chromatic bass motion",Dominant function fully preserved,Tritone interval maintained,Chromatic bass descent to tonic,"Darker, more sophisticated dominant color","Jazz standards, bebop, sophisticated harmony",Medium - chromatic voice leading,High - essential jazz concept,Jazz Era (1940s+),Jazz emphasis,"Tritone equivalence, chromatic bass motion"
tritone_ii7_V7,ii7-V7,bII7-V7,tritone_chain_substitute,Tritone Substitution,Chromatic bass motion throughout progression,Predominant-dominant function chain maintained,Tritone relationships preserved,Smooth chromatic bass line,Sophisticated jazz color throughout,"Advanced jazz progressions, reharmonization",Advanced - complex voice leading,Advanced - sophisticated concept,Bebop Era,Jazz emphasis,Extended tritone substitution chain
tritone_secondary_V7,V7/V,bII7/V,tritone_secondary_substitute,Tritone Substitution,Secondary dominant tritone substitution,Secondary function with chromatic enhancement,Tritone of tonicized chord maintained,Chromatic approach to dominant,Enriched secondary dominant color,"Jazz reharmonization, chromatic voice leading",Advanced - secondary function complexity,Advanced - requires understanding of secondary dominants,Modern Jazz,Jazz emphasis,Secondary dominant tritone substitution
