borrowed_id,diatonic_chord,borrowed_chord,source_mode,target_mode,borrowed_category,modal_relationship,voice_leading_behavior,functional_role,harmonic_color_change,emotional_effect,resolution_tendencies,typical_contexts,voice_leading_difficulty,pedagogical_value,historical_usage,style_associations,theoretical_basis
III_aug_in_minor,III+,III,Major,Natural Minor,Modal Interchange,Major third degree in minor,"Augmented to major, resolution of tension",Mediant with major stability,"Augmented to major, harmonic resolution","Brighter, more stable mediant","Progression to VI or iv, classical voice leading","Classical minor harmony, mediant emphasis",Medium - augmented chord understanding,Medium - classical minor technique,Classical Period,Classical,Major scale mediant borrowed into minor key context
III_minor,III+,III,Major,Natural Minor,Modal Interchange,Parallel major borrowing,"Augmented to major, mediant stabilization",Mediant harmony with major stability,"Augmented to major, resolution of tension","Stable, bright mediant character","Can move to IV, VI, or ii°","Classical harmony, mediant emphasis",Medium - augmented chord replacement,Medium - specialized technique,Classical to Romantic,Classical,"Major third degree, natural mediant"
II_minor,ii°,II,Major,Natural Minor,Modal Interchange,Parallel major borrowing,"Diminished to major, brighter predominant",Predominant function with major character,"Diminished to major, brightening effect","Brighter, more stable predominant approach","Strong motion to V, enhanced predominant function","Classical harmony, stronger predominant progressions",Medium - quality change from diminished,Medium - less common technique,Classical Period,Classical,Major scale influence in minor key context
VII_minor,VII,vii°,Major,Natural Minor,Modal Interchange,Parallel major borrowing,"Major to diminished, increased tension",Leading tone function restored,"Major to diminished, dramatic tensing","Classical tension, formal leading tone function","Strong resolution to i, authentic cadence approach","Classical minor key harmony, formal cadences",Medium - diminished chord voice leading,High - essential minor key harmony,Baroque to Classical,Classical,"Harmonic minor scale, raised seventh degree"
VI_minor,vi,VI,Major,Natural Minor,Modal Interchange,Parallel major borrowing,"Minor to major submediant, brightening",Submediant with major character,"Minor to major, emotional brightening","Hopeful, uplifting, brighter character","Often moves to ii° or IV, sometimes V","Classical progressions, brightening sequences","Easy - same root, raised third",Medium - less common than reverse,Classical to Romantic,Classical,Major scale sixth degree in minor context
bVII_mixolydian,vii°,bVII,Mixolydian,Major,Modal Interchange,Mixolydian mode borrowing,Diminished to major flat seven,Subtonic instead of leading tone,"Diminished to major, relaxed character","Modal, folk-like, less formal than classical","Plagal motion to I, modal cadence","Folk, rock, blues, modal jazz",Easy - modal scale relationship,High - essential modal concept,Folk to Modern,"Folk, Rock, Blues, Modal Jazz","Mixolydian mode, natural seventh degree"
bIII_major,iii,bIII,Natural Minor,Major,Modal Interchange,Parallel minor borrowing,"Chromatic mediant relationship, common tones possible",Mediant substitute with modal inflection,Major to major but chromatically altered,"Bright yet exotic, folk-like character","Can move to IV, vi, or back to I","Folk music, contemporary pop, modal harmony",Medium - chromatic relationship,High - fundamental modal concept,Folk to Modern,"Folk, Popular, Contemporary","Natural minor scale, flattened third degree"
bVII_major,vii°,bVII,Natural Minor,Major,Modal Interchange,Parallel minor borrowing,"Major flat seven, plagal relationship to tonic","Subtonic harmony, weaker than leading tone","Diminished to major, complete transformation","Folk-like, modal, less formal than V-I","Plagal motion to I, sometimes to IV or vi","Folk, rock, contemporary pop, modal jazz",Easy - diatonic in modal context,High - essential modal harmony,Folk to Modern,"Popular, Folk, Rock, Modal Jazz","Mixolydian mode, natural seventh degree"
bVI_major,vi,bVI,Natural Minor,Major,Modal Interchange,Parallel minor borrowing,"Flat six chord, different root and quality",Submediant substitute with modal character,Minor to major but chromatically lowered root,"Bright, folk-like, open sound","Often moves to IV or bVII, sometimes to V","Folk music, contemporary pop, rock progressions",Medium - new root position,High - very common in popular music,Folk to Modern,"Popular, Folk, Rock","Natural minor scale, flat sixth degree"
iv_major,IV,iv,Natural Minor,Major,Modal Interchange,Parallel minor borrowing,"Minor subdominant, darker color, same root",Subdominant function with modal mixture,"Major to minor subdominant, emotional darkening","Melancholy, introspective, bittersweet","Natural resolution to V or I, plagal cadence possible","Beatles songs, folk music, contemporary pop ballads","Easy - same root, third lowered",High - extremely common technique,Folk to Modern,"Popular, Contemporary, Some Classical","Natural minor scale, minor subdominant harmony"
bII_phrygian,N/A,bII,Phrygian,Major/Minor,Modal Interchange,Phrygian mode borrowing,"Flat second degree, half-step above tonic",Neapolitan-like function from Phrygian,Dramatic flat second relationship,"Dark, exotic, Spanish/Middle Eastern flavor",Half-step resolution down to tonic,"Spanish music, flamenco, Middle Eastern music, film scoring",Advanced - modal understanding required,Medium - specialized modal technique,Traditional to Modern,"Spanish, Middle Eastern, Film Music","Phrygian mode, flattened second degree"
bII_major,N/A,bII,Natural Minor,Major,Neapolitan Region,Parallel minor borrowing,"Half-step motion to tonic, dramatic voice leading",Pre-dominant function with modal darkness,"Dramatic darkening, exotic flavor","Mysterious, dark, dramatic tension","Strong pull to V or I, half-step resolutions","Classical dramatic passages, contemporary film music",Advanced - chromatic voice leading,High - essential advanced harmony,Classical to Romantic,"Classical, Film Music","Phrygian mode influence, flattened second degree"
I_minor,i,I,Major,Natural Minor,Picardy Third,Parallel major borrowing,"Minor to major tonic, brightening effect",Tonic function with major third,"Minor to major, dramatic brightening","Hope, resolution, triumph, brightness","Final resolution chord, Picardy third effect","Renaissance/Baroque cadences, hymns, classical endings","Easy - same root, raised third",High - historically significant,Renaissance to Classical,"Classical, Sacred Music","Picardy third, major third in minor key endings"
