voicing_name,voicing_category,description,interval_span_semitones,typical_voices,registral_distribution,density_characteristic,voice_leading_implications,genre_associations,pedagogical_level,bass_register_typical,soprano_register_typical
Close Position,position,All chord tones within an octave,12,4,concentrated,close,"Efficient voice-leading, smooth motion","Classical, hymns, chorales",beginner,Contra,Three-line
Close Position,position,All chord tones within an octave,12,4,concentrated,close,"Efficient voice-leading, smooth motion","Classical, hymns, chorales",beginner,Contra,Two-line
Close Position,position,All chord tones within an octave,12,4,concentrated,close,"Efficient voice-leading, smooth motion","Classical, hymns, chorales",beginner,Great,Three-line
Close Position,position,All chord tones within an octave,12,4,concentrated,close,"Efficient voice-leading, smooth motion","Classical, hymns, chorales",beginner,Great,Two-line
Shell Voicing,function,"Root, third, seventh only - essential tones",16,3,mixed,open,"Efficient, essential voice-leading","Jazz comping, accompaniment",beginner,Contra,Three-line
Shell Voicing,function,"Root, third, seventh only - essential tones",16,3,mixed,open,"Efficient, essential voice-leading","Jazz comping, accompaniment",beginner,Contra,Two-line
Shell Voicing,function,"Root, third, seventh only - essential tones",16,3,mixed,open,"Efficient, essential voice-leading","Jazz comping, accompaniment",beginner,Great,Three-line
Shell Voicing,function,"Root, third, seventh only - essential tones",16,3,mixed,open,"Efficient, essential voice-leading","Jazz comping, accompaniment",beginner,Great,Two-line
Block Chords,register,"All voices in same register, parallel motion",8,5,concentrated,close,"Parallel motion, lockstep voice-leading","Big band, gospel",intermediate,Contra,Three-line
Block Chords,register,"All voices in same register, parallel motion",8,5,concentrated,close,"Parallel motion, lockstep voice-leading","Big band, gospel",intermediate,Contra,Two-line
Block Chords,register,"All voices in same register, parallel motion",8,5,concentrated,close,"Parallel motion, lockstep voice-leading","Big band, gospel",intermediate,Great,Three-line
Block Chords,register,"All voices in same register, parallel motion",8,5,concentrated,close,"Parallel motion, lockstep voice-leading","Big band, gospel",intermediate,Great,Two-line
Drop 2,position,Second voice from top dropped an octave,19,4,mixed,mixed,"Jazz standard, smooth bass motion","Jazz, contemporary",intermediate,Contra,Three-line
Drop 2,position,Second voice from top dropped an octave,19,4,mixed,mixed,"Jazz standard, smooth bass motion","Jazz, contemporary",intermediate,Contra,Two-line
Drop 2,position,Second voice from top dropped an octave,19,4,mixed,mixed,"Jazz standard, smooth bass motion","Jazz, contemporary",intermediate,Great,Three-line
Drop 2,position,Second voice from top dropped an octave,19,4,mixed,mixed,"Jazz standard, smooth bass motion","Jazz, contemporary",intermediate,Great,Two-line
Open Position,position,Chord tones spread beyond an octave,24,4,spread,open,"Larger leaps, more dramatic motion","Orchestral, jazz, contemporary",intermediate,Contra,Three-line
Open Position,position,Chord tones spread beyond an octave,24,4,spread,open,"Larger leaps, more dramatic motion","Orchestral, jazz, contemporary",intermediate,Contra,Two-line
Open Position,position,Chord tones spread beyond an octave,24,4,spread,open,"Larger leaps, more dramatic motion","Orchestral, jazz, contemporary",intermediate,Great,Three-line
Open Position,position,Chord tones spread beyond an octave,24,4,spread,open,"Larger leaps, more dramatic motion","Orchestral, jazz, contemporary",intermediate,Great,Two-line
Spread Voicing,spacing,Wide intervals between all voices,36,4,spread,spread,"Large leaps, dramatic effects","Orchestral, film music",intermediate,Contra,Three-line
Spread Voicing,spacing,Wide intervals between all voices,36,4,spread,spread,"Large leaps, dramatic effects","Orchestral, film music",intermediate,Contra,Two-line
Spread Voicing,spacing,Wide intervals between all voices,36,4,spread,spread,"Large leaps, dramatic effects","Orchestral, film music",intermediate,Great,Three-line
Spread Voicing,spacing,Wide intervals between all voices,36,4,spread,spread,"Large leaps, dramatic effects","Orchestral, film music",intermediate,Great,Two-line
