chord_name,chord_symbol,chord_type,root_note,chord_tones,chord_intervals,inversion_type,bass_note,chord_quality,tension_extensions,alterations,common_progressions,chord_scale_relationship,harmonic_series_ratios
C thirteenth,C13,thirteenth,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F, Tone_A","0,4,7,10,14,17,21",5,F,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C thirteenth,C13,thirteenth,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_A#, Tone_D, Tone_F, Tone_A","0,4,7,10,14,17,21",6,A,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C add9,Cadd9,add9,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_D","0,4,7,14",root,C,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C add9,Cadd9,add9,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_D","0,4,7,14",1,E,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C add9,Cadd9,add9,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_D","0,4,7,14",2,G,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C add9,Cadd9,add9,Tone_C,"Tone_C, Tone_E, Tone_G, Tone_D","0,4,7,14",3,D,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C sus2,Csus2,sus2,Tone_C,"Tone_C, Tone_D, Tone_G","0,2,7",root,C,suspended,none,2,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C sus2,Csus2,sus2,Tone_C,"Tone_C, Tone_D, Tone_G","0,2,7",1,D,suspended,none,2,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C sus2,Csus2,sus2,Tone_C,"Tone_C, Tone_D, Tone_G","0,2,7",2,G,suspended,none,2,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C sus4,Csus4,sus4,Tone_C,"Tone_C, Tone_F, Tone_G","0,5,7",root,C,suspended,none,5,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C sus4,Csus4,sus4,Tone_C,"Tone_C, Tone_F, Tone_G","0,5,7",1,F,suspended,none,5,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C sus4,Csus4,sus4,Tone_C,"Tone_C, Tone_F, Tone_G","0,5,7",2,G,suspended,none,5,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C# major,C#M,major,Tone_C#,"Tone_C#, Tone_F, Tone_G#","0,4,7",root,C#,major,none,none,"I-vi-IV-V, vi-IV-I-V",major_scale,1:5/4:3/2
C# major,C#M,major,Tone_C#,"Tone_C#, Tone_F, Tone_G#","0,4,7",1,F,major,none,none,"I-vi-IV-V, vi-IV-I-V",major_scale,1:5/4:3/2
C# major,C#M,major,Tone_C#,"Tone_C#, Tone_F, Tone_G#","0,4,7",2,G#,major,none,none,"I-vi-IV-V, vi-IV-I-V",major_scale,1:5/4:3/2
C# minor,C#m,minor,Tone_C#,"Tone_C#, Tone_E, Tone_G#","0,3,7",root,C#,minor,none,3,"I-vi-IV-V, vi-IV-I-V",natural_minor_scale,1:6/5:3/2
C# minor,C#m,minor,Tone_C#,"Tone_C#, Tone_E, Tone_G#","0,3,7",1,E,minor,none,3,"I-vi-IV-V, vi-IV-I-V",natural_minor_scale,1:6/5:3/2
C# minor,C#m,minor,Tone_C#,"Tone_C#, Tone_E, Tone_G#","0,3,7",2,G#,minor,none,3,"I-vi-IV-V, vi-IV-I-V",natural_minor_scale,1:6/5:3/2
C# diminished,C#dim,diminished,Tone_C#,"Tone_C#, Tone_E, Tone_G","0,3,6",root,C#,diminished,none,"3,6","I-ii-V-I, I-IV-V-I",chromatic_or_modal,
C# diminished,C#dim,diminished,Tone_C#,"Tone_C#, Tone_E, Tone_G","0,3,6",1,E,diminished,none,"3,6","I-ii-V-I, I-IV-V-I",chromatic_or_modal,
C# diminished,C#dim,diminished,Tone_C#,"Tone_C#, Tone_E, Tone_G","0,3,6",2,G,diminished,none,"3,6","I-ii-V-I, I-IV-V-I",chromatic_or_modal,
C# augmented,C#aug,augmented,Tone_C#,"Tone_C#, Tone_F, Tone_A","0,4,8",root,C#,augmented,none,8,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C# augmented,C#aug,augmented,Tone_C#,"Tone_C#, Tone_F, Tone_A","0,4,8",1,F,augmented,none,8,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C# augmented,C#aug,augmented,Tone_C#,"Tone_C#, Tone_F, Tone_A","0,4,8",2,A,augmented,none,8,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C# major_seventh,C#M7,major_seventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_C","0,4,7,11",root,C#,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
C# major_seventh,C#M7,major_seventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_C","0,4,7,11",1,F,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
C# major_seventh,C#M7,major_seventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_C","0,4,7,11",2,G#,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
C# major_seventh,C#M7,major_seventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_C","0,4,7,11",3,C,major,none,11,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:15/8
C# minor_seventh,C#m7,minor_seventh,Tone_C#,"Tone_C#, Tone_E, Tone_G#, Tone_B","0,3,7,10",root,C#,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
C# minor_seventh,C#m7,minor_seventh,Tone_C#,"Tone_C#, Tone_E, Tone_G#, Tone_B","0,3,7,10",1,E,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
C# minor_seventh,C#m7,minor_seventh,Tone_C#,"Tone_C#, Tone_E, Tone_G#, Tone_B","0,3,7,10",2,G#,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
C# minor_seventh,C#m7,minor_seventh,Tone_C#,"Tone_C#, Tone_E, Tone_G#, Tone_B","0,3,7,10",3,B,minor,none,3,"ii-V-I, IV-V-I",chromatic_or_modal,
C# dominant_seventh,C#7,dominant_seventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B","0,4,7,10",root,C#,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
C# dominant_seventh,C#7,dominant_seventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B","0,4,7,10",1,F,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
C# dominant_seventh,C#7,dominant_seventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B","0,4,7,10",2,G#,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
C# dominant_seventh,C#7,dominant_seventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B","0,4,7,10",3,B,dominant,none,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9
C# diminished_seventh,C#dim7,diminished_seventh,Tone_C#,"Tone_C#, Tone_E, Tone_G, Tone_A#","0,3,6,9",root,C#,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
C# diminished_seventh,C#dim7,diminished_seventh,Tone_C#,"Tone_C#, Tone_E, Tone_G, Tone_A#","0,3,6,9",1,E,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
C# diminished_seventh,C#dim7,diminished_seventh,Tone_C#,"Tone_C#, Tone_E, Tone_G, Tone_A#","0,3,6,9",2,G,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
C# diminished_seventh,C#dim7,diminished_seventh,Tone_C#,"Tone_C#, Tone_E, Tone_G, Tone_A#","0,3,6,9",3,A#,diminished,none,"3,6,9","ii-V-I, IV-V-I",chromatic_or_modal,
C# half_diminished,C#m7b5,half_diminished,Tone_C#,"Tone_C#, Tone_E, Tone_G, Tone_B","0,3,6,10",root,C#,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
C# half_diminished,C#m7b5,half_diminished,Tone_C#,"Tone_C#, Tone_E, Tone_G, Tone_B","0,3,6,10",1,E,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
C# half_diminished,C#m7b5,half_diminished,Tone_C#,"Tone_C#, Tone_E, Tone_G, Tone_B","0,3,6,10",2,G,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
C# half_diminished,C#m7b5,half_diminished,Tone_C#,"Tone_C#, Tone_E, Tone_G, Tone_B","0,3,6,10",3,B,half-diminished,none,"3,6","ii-V-I, IV-V-I",chromatic_or_modal,
C# minor_major_seventh,C#mM7,minor_major_seventh,Tone_C#,"Tone_C#, Tone_E, Tone_G#, Tone_C","0,3,7,11",root,C#,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
C# minor_major_seventh,C#mM7,minor_major_seventh,Tone_C#,"Tone_C#, Tone_E, Tone_G#, Tone_C","0,3,7,11",1,E,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
C# minor_major_seventh,C#mM7,minor_major_seventh,Tone_C#,"Tone_C#, Tone_E, Tone_G#, Tone_C","0,3,7,11",2,G#,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
C# minor_major_seventh,C#mM7,minor_major_seventh,Tone_C#,"Tone_C#, Tone_E, Tone_G#, Tone_C","0,3,7,11",3,C,minor,none,"3,11","ii-V-I, IV-V-I",chromatic_or_modal,
C# ninth,C#9,ninth,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#","0,4,7,10,14",root,C#,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
C# ninth,C#9,ninth,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#","0,4,7,10,14",1,F,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
C# ninth,C#9,ninth,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#","0,4,7,10,14",2,G#,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
C# ninth,C#9,ninth,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#","0,4,7,10,14",3,B,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
C# ninth,C#9,ninth,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#","0,4,7,10,14",4,D#,dominant,14,none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4
C# eleventh,C#11,eleventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#","0,4,7,10,14,17",root,C#,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
C# eleventh,C#11,eleventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#","0,4,7,10,14,17",1,F,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
C# eleventh,C#11,eleventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#","0,4,7,10,14,17",2,G#,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
C# eleventh,C#11,eleventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#","0,4,7,10,14,17",3,B,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
C# eleventh,C#11,eleventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#","0,4,7,10,14,17",4,D#,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
C# eleventh,C#11,eleventh,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#","0,4,7,10,14,17",5,F#,dominant,"14,17",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4
C# thirteenth,C#13,thirteenth,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#, Tone_A#","0,4,7,10,14,17,21",root,C#,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C# thirteenth,C#13,thirteenth,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#, Tone_A#","0,4,7,10,14,17,21",1,F,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C# thirteenth,C#13,thirteenth,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#, Tone_A#","0,4,7,10,14,17,21",2,G#,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C# thirteenth,C#13,thirteenth,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#, Tone_A#","0,4,7,10,14,17,21",3,B,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C# thirteenth,C#13,thirteenth,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#, Tone_A#","0,4,7,10,14,17,21",4,D#,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C# thirteenth,C#13,thirteenth,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#, Tone_A#","0,4,7,10,14,17,21",5,F#,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C# thirteenth,C#13,thirteenth,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_B, Tone_D#, Tone_F#, Tone_A#","0,4,7,10,14,17,21",6,A#,dominant,"14,17,21",none,"ii-V-I, IV-V-I",chromatic_or_modal,1:5/4:3/2:16/9:9/4:11/4:13/4
C# add9,C#add9,add9,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_D#","0,4,7,14",root,C#,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C# add9,C#add9,add9,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_D#","0,4,7,14",1,F,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C# add9,C#add9,add9,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_D#","0,4,7,14",2,G#,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C# add9,C#add9,add9,Tone_C#,"Tone_C#, Tone_F, Tone_G#, Tone_D#","0,4,7,14",3,D#,added-tone,14,none,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C# sus2,C#sus2,sus2,Tone_C#,"Tone_C#, Tone_D#, Tone_G#","0,2,7",root,C#,suspended,none,2,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
C# sus2,C#sus2,sus2,Tone_C#,"Tone_C#, Tone_D#, Tone_G#","0,2,7",1,D#,suspended,none,2,"I-vi-IV-V, vi-IV-I-V",chromatic_or_modal,
