lower_note,upper_note,interval_name,semitones,frequency_ratio,cents,harmonic_series_position,consonance_level,interval_class,compound_interval,enharmonic_spellings,beat_frequency_hz_440,beat_frequency_hz_432,lower_freq_hz_440,upper_freq_hz_440,lower_freq_hz_432,upper_freq_hz_432,resolution_vectors,functional_tendencies,modern_applications,constructive_interference_ratio,destructive_interference_ratio,interference_pattern_type,phase_relationship_degrees,roughness_index
A#0/Bb0,D1,major third,4,5:4,400,5th harmonic,consonant,M3,simple,major third/diminished fourth,7.57,7.43,29.14,36.71,28.610181818181800,36.042545454545500,stable|expand_to_fifth|contract_to_unison,dominant_chord_member|resolution_goal,lydian_characteristic|maj7#11_color|bitonality_anchor,0.9109,0.0097,consonant_moderate_beating,205.2,0.0757
A#0/Bb0,D#1/Eb1,perfect fourth,5,4:3,500,4th harmonic,consonant,P4,simple,perfect fourth,9.75,9.57,29.14,38.89,28.610181818181800,38.18290909090910,stable|suspension_down_to_third|quartal_voice_leading,suspension_preparation|plagal_motion,quartal_harmony_foundation|sus4_color|modal_frame,0.9876,0.0013,consonant_moderate_beating,270.0,0.0975
A#0/Bb0,E1,tritone,6,45:32,600,none,dissonant,TT,simple,augmented fourth/diminished fifth,12.06,11.84,29.14,41.2,28.610181818181800,40.45090909090910,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts,dominant_seventh_tension|diminished_chord_core,symmetric_scale_anchor|french_sixth_color|whole_tone_element,0.5539,0.0745,fast_beating,21.6,0.402
A#0/Bb0,F1,perfect fifth,7,3:2,700,3rd harmonic,consonant,P5,simple,perfect fifth,14.51,14.25,29.14,43.65,28.610181818181800,42.85636363636360,stable|power_interval|open_voicing_foundation,tonic_stability|dominant_generator,quartal_extension|power_chord_core|modal_drone,0.9798,0.0021,consonant_fast_beating,183.6,0.1451
A#0/Bb0,F#1/Gb1,minor sixth,8,8:5,800,none,mild dissonant,m6,simple,minor sixth/augmented fifth,17.11,16.8,29.14,46.25,28.610181818181800,45.40909090909090,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth,submediant_approach|deceptive_resolution,dorian_characteristic|add6_color|chromatic_mediant,0.5343,0.0802,fast_beating,39.6,0.5703
A#0/Bb0,G1,major sixth,9,5:3,900,none,mild dissonant,M6,simple,major sixth,19.86,19.5,29.14,49.0,28.610181818181800,48.10909090909090,expand_to_octave|contract_to_fifth|leading_tone_preparation,submediant_function|deceptive_cadence,lydian_extension|maj13_color|neapolitan_preparation,0.3552,0.1536,fast_beating,309.6,0.662
A#0/Bb0,G#1/Ab1,minor seventh,10,16:9,1000,none,dissonant,m7,simple,minor seventh,22.77,22.36,29.14,51.91,28.610181818181800,50.966181818181800,resolution_down_to_sixth|resolution_up_to_octave|suspension_character,dominant_seventh_dissonance|modal_mixture,modal_frame|min7_chord_color|blues_harmony_foundation,0.3139,0.1794,fast_beating,277.2,0.759
A#0/Bb0,A1,major seventh,11,15:8,1100,15th harmonic,dissonant,M7,simple,major seventh/diminished octave,25.86,25.39,29.14,55.0,28.610181818181800,54.0,resolution_up_to_octave|chromatic_approach|half_step_tension,leading_tone_function|dominant_preparation,maj7_chord_color|chromatic_harmony|impressionist_dissonance,0.4705,0.1012,fast_beating,309.6,0.862
A#0/Bb0,B1,minor ninth,13,32:15,1300,none,dissonant,m9,compound,minor second + octave,32.6,32.01,29.14,61.74,28.610181818181800,60.61745454545460,up_half_step|down_half_step|chromatic_voice_exchange|compound_spacing|register_displacement,leading_tone_resolution|neighbor_tone|extended_harmony,cluster_harmony|semitone_displacement|chromatic_saturation|jazz_extensions|contemporary_color,0.4572,0.1061,roughness,216.0,0.87
A#0/Bb0,C2,major ninth,14,9:4,1400,9th harmonic,mild dissonant,M9,compound,major second + octave,36.27,35.61,29.14,65.41,28.610181818181800,64.22072727272730,step_resolution_both_directions|leap_to_consonance|compound_spacing|register_displacement,passing_tone|suspension_resolution|extended_harmony,quartal_harmony|secunda_harmony|tone_cluster_component|jazz_extensions|contemporary_color,0.2901,0.1966,roughness,97.2,0.6865
A#0/Bb0,D2,major tenth,16,5:2,1600,5th harmonic,consonant,M10,compound,major third + octave,44.28,43.47,29.14,73.42,28.610181818181800,72.08509090909090,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,dominant_chord_member|resolution_goal|extended_harmony,lydian_characteristic|maj7#11_color|bitonality_anchor|jazz_extensions|contemporary_color,0.1614,0.3419,roughness,100.8,0.286
A#0/Bb0,E2,augmented eleventh,18,45:16,1800,none,dissonant,A11,compound,tritone + octave,53.27,52.3,29.14,82.41,28.610181818181800,80.91163636363640,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts|compound_spacing|register_displacement,dominant_seventh_tension|diminished_chord_core|extended_harmony,symmetric_scale_anchor|french_sixth_color|whole_tone_element|jazz_extensions|contemporary_color,0.1078,0.453,roughness,97.2,0.9673
A#0/Bb0,F2,perfect twelfth,19,3:1,1900,3rd harmonic,consonant,P12,compound,perfect fifth + octave,58.17,57.11,29.14,87.31,28.610181818181800,85.72254545454550,stable|power_interval|open_voicing_foundation|compound_spacing|register_displacement,tonic_stability|dominant_generator|extended_harmony,quartal_extension|power_chord_core|modal_drone|jazz_extensions|contemporary_color,0.0912,0.4991,roughness,61.2,0.9183
A#0/Bb0,G2,major thirteenth,21,5:3,2100,none,mild dissonant,M13,compound,major sixth + octave,68.86,67.61,29.14,98.0,28.610181818181800,96.21818181818180,expand_to_octave|contract_to_fifth|leading_tone_preparation|compound_spacing|register_displacement,submediant_function|deceptive_cadence|extended_harmony,lydian_extension|maj13_color|neapolitan_preparation|jazz_extensions|contemporary_color,0.0683,0.5768,roughness,309.6,0.8114
A#0/Bb0,A2,major fourteenth,23,15:4,2300,15th harmonic,dissonant,M14,compound,major seventh + octave,80.86,79.39,29.14,110.0,28.610181818181800,108.0,resolution_up_to_octave|chromatic_approach|half_step_tension|compound_spacing|register_displacement,leading_tone_function|dominant_preparation|extended_harmony,maj7_chord_color|chromatic_harmony|impressionist_dissonance|jazz_extensions|contemporary_color,0.0533,0.6396,roughness,309.6,0.6914
B0,C1,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,1.83,1.8,30.87,32.7,30.308727272727300,32.10545454545460,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7597,0.0307,slow_beating,298.8,0.061
B0,C#1/Db1,major second,2,9:8,200,9th harmonic,mild dissonant,M2,simple,major second,3.78,3.71,30.87,34.65,30.308727272727300,34.020000000000000,step_resolution_both_directions|leap_to_consonance,passing_tone|suspension_resolution,quartal_harmony|secunda_harmony|tone_cluster_component,0.9751,0.0025,moderate_beating,280.8,0.126
B0,D1,minor third,3,6:5,300,none,consonant,m3,simple,minor third,5.84,5.73,30.87,36.71,30.308727272727300,36.042545454545500,stable|expand_to_fifth|contract_to_unison,tonic_triad_member|subdominant_approach,modal_color_tone|add9_chord_component|polychord_element,0.9024,0.0107,moderate_beating,302.4,0.1947
B0,D#1/Eb1,major third,4,5:4,400,5th harmonic,consonant,M3,simple,major third/diminished fourth,8.02,7.87,30.87,38.89,30.308727272727300,38.18290909090910,stable|expand_to_fifth|contract_to_unison,dominant_chord_member|resolution_goal,lydian_characteristic|maj7#11_color|bitonality_anchor,0.9108,0.0097,consonant_moderate_beating,7.2,0.0802
B0,E1,perfect fourth,5,4:3,500,4th harmonic,consonant,P4,simple,perfect fourth,10.33,10.14,30.87,41.2,30.308727272727300,40.45090909090910,stable|suspension_down_to_third|quartal_voice_leading,suspension_preparation|plagal_motion,quartal_harmony_foundation|sus4_color|modal_frame,0.9872,0.0013,consonant_fast_beating,118.8,0.1033
B0,F1,tritone,6,45:32,600,none,dissonant,TT,simple,augmented fourth/diminished fifth,12.78,12.55,30.87,43.65,30.308727272727300,42.85636363636360,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts,dominant_seventh_tension|diminished_chord_core,symmetric_scale_anchor|french_sixth_color|whole_tone_element,0.5535,0.0746,fast_beating,280.8,0.426
B0,F#1/Gb1,perfect fifth,7,3:2,700,3rd harmonic,consonant,P5,simple,perfect fifth,15.38,15.1,30.87,46.25,30.308727272727300,45.40909090909090,stable|power_interval|open_voicing_foundation,tonic_stability|dominant_generator,quartal_extension|power_chord_core|modal_drone,0.9825,0.0018,consonant_fast_beating,136.8,0.1538
B0,G1,minor sixth,8,8:5,800,none,mild dissonant,m6,simple,minor sixth/augmented fifth,18.13,17.8,30.87,49.0,30.308727272727300,48.10909090909090,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth,submediant_approach|deceptive_resolution,dorian_characteristic|add6_color|chromatic_mediant,0.5339,0.0803,fast_beating,46.8,0.6043
B0,G#1/Ab1,major sixth,9,5:3,900,none,mild dissonant,M6,simple,major sixth,21.04,20.66,30.87,51.91,30.308727272727300,50.966181818181800,expand_to_octave|contract_to_fifth|leading_tone_preparation,submediant_function|deceptive_cadence,lydian_extension|maj13_color|neapolitan_preparation,0.3552,0.1537,fast_beating,14.4,0.7013
B0,A1,minor seventh,10,16:9,1000,none,dissonant,m7,simple,minor seventh,24.13,23.69,30.87,55.0,30.308727272727300,54.0,resolution_down_to_sixth|resolution_up_to_octave|suspension_character,dominant_seventh_dissonance|modal_mixture,modal_frame|min7_chord_color|blues_harmony_foundation,0.3141,0.1792,fast_beating,46.8,0.8043
B0,B1,perfect octave,12,2:1,1200,2nd harmonic,consonant,P8,simple,perfect octave,30.87,30.31,30.87,61.74,30.308727272727300,60.61745454545460,stable|register_doubling|harmonic_reinforcement,tonic_reinforcement|structural_support,octave_displacement|register_transfer|harmonic_series_anchor,1.0,0.0,consonant_roughness,313.2,0.2869
B0,C2,minor ninth,13,32:15,1300,none,dissonant,m9,compound,minor second + octave,34.54,33.91,30.87,65.41,30.308727272727300,64.22072727272730,up_half_step|down_half_step|chromatic_voice_exchange|compound_spacing|register_displacement,leading_tone_resolution|neighbor_tone|extended_harmony,cluster_harmony|semitone_displacement|chromatic_saturation|jazz_extensions|contemporary_color,0.4569,0.1063,roughness,194.4,0.773
B0,D2,minor tenth,15,12:5,1500,none,consonant,m10,compound,minor third + octave,42.55,41.78,30.87,73.42,30.308727272727300,72.08509090909090,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,tonic_triad_member|subdominant_approach|extended_harmony,modal_color_tone|add9_chord_component|polychord_element|jazz_extensions|contemporary_color,0.209,0.2745,roughness,198.0,0.3725
B0,E2,perfect eleventh,17,8:3,1700,4th harmonic,consonant,P11,compound,perfect fourth + octave,51.54,50.6,30.87,82.41,30.308727272727300,80.91163636363640,stable|suspension_down_to_third|quartal_voice_leading|compound_spacing|register_displacement,suspension_preparation|plagal_motion|extended_harmony,quartal_harmony_foundation|sus4_color|modal_frame|jazz_extensions|contemporary_color,0.1299,0.401,roughness,194.4,0.9846
B0,F2,augmented eleventh,18,45:16,1800,none,dissonant,A11,compound,tritone + octave,56.44,55.41,30.87,87.31,30.308727272727300,85.72254545454550,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts|compound_spacing|register_displacement,dominant_seventh_tension|diminished_chord_core|extended_harmony,symmetric_scale_anchor|french_sixth_color|whole_tone_element|jazz_extensions|contemporary_color,0.1077,0.453,roughness,158.4,0.9356
B0,G2,minor thirteenth,20,8:5,2000,none,mild dissonant,m13,compound,minor sixth + octave,67.13,65.91,30.87,98.0,30.308727272727300,96.21818181818180,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth|compound_spacing|register_displacement,submediant_approach|deceptive_resolution|extended_harmony,dorian_characteristic|add6_color|chromatic_mediant|jazz_extensions|contemporary_color,0.0785,0.5401,roughness,46.8,0.8287
B0,A2,minor fourteenth,22,16:9,2200,none,dissonant,m14,compound,minor seventh + octave,79.13,77.69,30.87,110.0,30.308727272727300,108.0,resolution_down_to_sixth|resolution_up_to_octave|suspension_character|compound_spacing|register_displacement,dominant_seventh_dissonance|modal_mixture|extended_harmony,modal_frame|min7_chord_color|blues_harmony_foundation|jazz_extensions|contemporary_color,0.0601,0.6099,roughness,46.8,0.7087
B0,B2,perfect fifteenth,24,4:1,2400,2nd harmonic,consonant,P15,compound,double octave,92.6,90.92,30.87,123.47,30.308727272727300,121.22509090909100,stable|register_doubling|harmonic_reinforcement|compound_spacing|register_displacement,tonic_reinforcement|structural_support|extended_harmony,octave_displacement|register_transfer|harmonic_series_anchor|jazz_extensions|contemporary_color,0.0476,0.6666,roughness,216.0,0.574
C1,C#1/Db1,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,1.95,1.91,32.7,34.65,32.10545454545460,34.020000000000000,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7618,0.0303,slow_beating,342.0,0.065
C1,D1,major second,2,9:8,200,9th harmonic,mild dissonant,M2,simple,major second,4.01,3.94,32.7,36.71,32.10545454545460,36.042545454545500,step_resolution_both_directions|leap_to_consonance,passing_tone|suspension_resolution,quartal_harmony|secunda_harmony|tone_cluster_component,0.9768,0.0024,moderate_beating,3.6,0.1337
C1,D#1/Eb1,minor third,3,6:5,300,none,consonant,m3,simple,minor third,6.19,6.08,32.7,38.89,32.10545454545460,38.18290909090910,stable|expand_to_fifth|contract_to_unison,tonic_triad_member|subdominant_approach,modal_color_tone|add9_chord_component|polychord_element,0.9033,0.0106,moderate_beating,68.4,0.2063
C1,E1,major third,4,5:4,400,5th harmonic,consonant,M3,simple,major third/diminished fourth,8.5,8.35,32.7,41.2,32.10545454545460,40.45090909090910,stable|expand_to_fifth|contract_to_unison,dominant_chord_member|resolution_goal,lydian_characteristic|maj7#11_color|bitonality_anchor,0.9096,0.0098,consonant_moderate_beating,180.0,0.085
C1,F1,perfect fourth,5,4:3,500,4th harmonic,consonant,P4,simple,perfect fourth,10.95,10.75,32.7,43.65,32.10545454545460,42.85636363636360,stable|suspension_down_to_third|quartal_voice_leading,suspension_preparation|plagal_motion,quartal_harmony_foundation|sus4_color|modal_frame,0.9849,0.0015,consonant_fast_beating,342.0,0.1095
C1,F#1/Gb1,tritone,6,45:32,600,none,dissonant,TT,simple,augmented fourth/diminished fifth,13.55,13.3,32.7,46.25,32.10545454545460,45.40909090909090,resolution_to_sixth|resolution_to_third|chromatic_slide|stable_in_symmetric_contexts,dominant_seventh_tension|diminished_chord_core,symmetric_scale_anchor|french_sixth_color|whole_tone_element,0.5524,0.075,fast_beating,198.0,0.4517
C1,G1,perfect fifth,7,3:2,700,3rd harmonic,consonant,P5,simple,perfect fifth,16.3,16.0,32.7,49.0,32.10545454545460,48.10909090909090,stable|power_interval|open_voicing_foundation,tonic_stability|dominant_generator,quartal_extension|power_chord_core|modal_drone,0.9849,0.0015,consonant_fast_beating,108.0,0.163
C1,G#1/Ab1,minor sixth,8,8:5,800,none,mild dissonant,m6,simple,minor sixth/augmented fifth,19.21,18.86,32.7,51.91,32.10545454545460,50.966181818181800,expand_to_octave|contract_to_fifth|chromatic_approach_to_fifth,submediant_approach|deceptive_resolution,dorian_characteristic|add6_color|chromatic_mediant,0.5334,0.0804,fast_beating,75.6,0.6403
C1,A1,major sixth,9,5:3,900,none,mild dissonant,M6,simple,major sixth,22.3,21.89,32.7,55.0,32.10545454545460,54.0,expand_to_octave|contract_to_fifth|leading_tone_preparation,submediant_function|deceptive_cadence,lydian_extension|maj13_color|neapolitan_preparation,0.3547,0.1539,fast_beating,108.0,0.7433
C1,B1,major seventh,11,15:8,1100,15th harmonic,dissonant,M7,simple,major seventh/diminished octave,29.04,28.51,32.7,61.74,32.10545454545460,60.61745454545460,resolution_up_to_octave|chromatic_approach|half_step_tension,leading_tone_function|dominant_preparation,maj7_chord_color|chromatic_harmony|impressionist_dissonance,0.4719,0.1007,fast_beating,14.4,0.968
C1,C2,perfect octave,12,2:1,1200,2nd harmonic,consonant,P8,simple,perfect octave,32.71,32.12,32.7,65.41,32.10545454545460,64.22072727272730,stable|register_doubling|harmonic_reinforcement,tonic_reinforcement|structural_support,octave_displacement|register_transfer|harmonic_series_anchor,0.997,0.0003,consonant_roughness,255.6,0.2594
C1,D2,major ninth,14,9:4,1400,9th harmonic,mild dissonant,M9,compound,major second + octave,40.72,39.98,32.7,73.42,32.10545454545460,72.08509090909090,step_resolution_both_directions|leap_to_consonance|compound_spacing|register_displacement,passing_tone|suspension_resolution|extended_harmony,quartal_harmony|secunda_harmony|tone_cluster_component|jazz_extensions|contemporary_color,0.2896,0.197,roughness,259.2,0.464
C1,E2,major tenth,16,5:2,1600,5th harmonic,consonant,M10,compound,major third + octave,49.71,48.81,32.7,82.41,32.10545454545460,80.91163636363640,stable|expand_to_fifth|contract_to_unison|compound_spacing|register_displacement,dominant_chord_member|resolution_goal|extended_harmony,lydian_characteristic|maj7#11_color|bitonality_anchor|jazz_extensions|contemporary_color,0.1612,0.3422,roughness,255.6,0.0145
C1,F2,perfect eleventh,17,8:3,1700,4th harmonic,consonant,P11,compound,perfect fourth + octave,54.61,53.62,32.7,87.31,32.10545454545460,85.72254545454550,stable|suspension_down_to_third|quartal_voice_leading|compound_spacing|register_displacement,suspension_preparation|plagal_motion|extended_harmony,quartal_harmony_foundation|sus4_color|modal_frame|jazz_extensions|contemporary_color,0.1299,0.4012,roughness,219.6,0.9539
C1,G2,perfect twelfth,19,3:1,1900,3rd harmonic,consonant,P12,compound,perfect fifth + octave,65.3,64.11,32.7,98.0,32.10545454545460,96.21818181818180,stable|power_interval|open_voicing_foundation|compound_spacing|register_displacement,tonic_stability|dominant_generator|extended_harmony,quartal_extension|power_chord_core|modal_drone|jazz_extensions|contemporary_color,0.0912,0.4992,roughness,108.0,0.847
C1,A2,major thirteenth,21,5:3,2100,none,mild dissonant,M13,compound,major sixth + octave,77.3,75.89,32.7,110.0,32.10545454545460,108.0,expand_to_octave|contract_to_fifth|leading_tone_preparation|compound_spacing|register_displacement,submediant_function|deceptive_cadence|extended_harmony,lydian_extension|maj13_color|neapolitan_preparation|jazz_extensions|contemporary_color,0.0683,0.577,roughness,108.0,0.727
C1,B2,major fourteenth,23,15:4,2300,15th harmonic,dissonant,M14,compound,major seventh + octave,90.77,89.12,32.7,123.47,32.10545454545460,121.22509090909100,resolution_up_to_octave|chromatic_approach|half_step_tension|compound_spacing|register_displacement,leading_tone_function|dominant_preparation|extended_harmony,maj7_chord_color|chromatic_harmony|impressionist_dissonance|jazz_extensions|contemporary_color,0.0533,0.6397,roughness,277.2,0.5923
C1,C3,perfect fifteenth,24,4:1,2400,2nd harmonic,consonant,P15,compound,double octave,98.11,96.33,32.7,130.81,32.10545454545460,128.43163636363600,stable|register_doubling|harmonic_reinforcement|compound_spacing|register_displacement,tonic_reinforcement|structural_support|extended_harmony,octave_displacement|register_transfer|harmonic_series_anchor|jazz_extensions|contemporary_color,0.0476,0.6667,roughness,39.6,0.5189
C#1/Db1,D1,minor second,1,16:15,100,none,dissonant,m2,simple,minor second/augmented unison,2.06,2.02,34.65,36.71,34.020000000000000,36.042545454545500,up_half_step|down_half_step|chromatic_voice_exchange,leading_tone_resolution|neighbor_tone,cluster_harmony|semitone_displacement|chromatic_saturation,0.7607,0.0305,moderate_beating,21.6,0.0687
C#1/Db1,D#1/Eb1,major second,2,9:8,200,9th harmonic,mild dissonant,M2,simple,major second,4.24,4.16,34.65,38.89,34.020000000000000,38.18290909090910,step_resolution_both_directions|leap_to_consonance,passing_tone|suspension_resolution,quartal_harmony|secunda_harmony|tone_cluster_component,0.9743,0.0026,moderate_beating,86.4,0.1413
